data,mes,om,anv,etapa,origem,destino,lat_origem,long_origem,lat_dest,long_dest,HORA_DEP,HORA_ARR,TEMPO_DE_VOO,SEGMTO,POUSOS,REAL,CAPOTA,LOCAL_1,QTD_1,LOCAL_2,QTD_2,1P,2P,NV,MC1,MC2,MC3,LM1,LM2,LM3,LM4,LM5,COM,MISSAO,D_N,OFRAG,ORGAO,PROGRAMA,SUBPROG,APLICACAO,COMB,OLEO,PAX_EMBARQ,PAX_DESEMB,PAX_LANCADO,CARGA_EMBARQ,CARGA_DESEMB,CARGA_LANCADA
10/jan.,JAN.,006,2809,3,SWMK,SBUA,0.626,-66.12,-0.130,-0.130,15:15,15:35,00:20,2,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,385,0,1,4,0,120,120,0
10/jan.,JAN.,006,2809,4,SBUA,SWQE,-0.130,-66.98,1.085,1.085,16:55,17:55,01:00,3,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,880,0,0,0,0,2805,2805,0
10/jan.,JAN.,006,2809,5,SWQE,SBUA,1.085,-69.84,-0.130,-0.130,18:40,19:35,00:55,4,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,840,0,4,4,0,179,179,0
10/jan.,JAN.,009,2802,1,SBMN,SBBE,-3.130,-59.98,-1.400,-1.400,11:30,14:55,03:25,1,1,03:00,,SBBE,1,,,ADR,JAI,,ROB,,,BOR,ADO,BGN,,,,69TV300,DIURNO,210039,COMAE,PEO,SPMAS,FAB,2690,0,4,4,0,0,0,0
10/jan.,JAN.,009,2802,2,SBBE,SBMN,-1.400,-48.45,-3.130,-3.130,16:40,20:00,03:20,2,1,02:50,,SBMN,1,,,JAI,ADR,,ROB,,,BOR,ADO,BGN,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,FAB,2600,0,15,15,0,1418,1418,0
11/jan.,JAN.,011,2802,1,SBMN,SBBE,-3.130,-59.98,-1.400,-1.400,03:40,07:00,03:20,1,1,03:10,,SBBE,1,,,RAV,BRA,,RUD,,,MAI,RBS,,,,,69TVNO,NOTURNO,210058,COMAE,PAOE,SPAOE,COVID-19,2700,4,1,1,0,0,0,0
11/jan.,JAN.,011,2802,2,SBBE,SBMN,-1.400,-48.45,-3.130,-3.130,09:00,12:00,03:00,2,1,02:50,,SBMN,1,,,BRA,RAV,,RUD,,,MAI,RBS,,,,,69TVDI,DIURNO,,COMAE,PAOE,SPAOE,COVID-19,2200,0,0,0,0,0,0,0
11/jan.,JAN.,006,2809,6,SBUA,SBSQ,-0.130,-66.98,1.700,1.700,13:15,14:10,00:55,1,1,,,,,,,ABQ,BOD,,DNL,,,MOA,VAN,REG,,,,69TVDI,DIURNO,,COMAE,PMC-EB,SPMC,EB,925,0,5,5,0,1400,1400,0
11/jan.,JAN.,006,2809,7,SBSQ,SBUA,1.700,-69.39,-0.130,-0.130,14:55,15:50,00:55,2,1,,,,,,,ABQ,BOD,,DNL,,,MOA,VAN,REG,,,,69TVDI,DIURNO,,COMAE,PMC-EB,SPMC,EB,837,0,4,4,0,0,0,0
11/jan.,JAN.,006,2809,8,SBUA,SWMK,-0.130,-66.98,0.626,0.626,17:25,17:50,00:25,3,1,,,,,,,BOD,ABQ,,DNL,,,MOA,VAN,REG,,,,69TVDI,DIURNO,,COMAE,PMC-EB,SPMC,EB,500,0,9,9,0,2525,2525,0
11/jan.,JAN.,006,2809,9,SWMK,SBUA,0.626,-66.12,-0.130,-0.130,18:55,19:20,00:25,4,1,,,,,,,BOD,ABQ,,DNL,,,MOA,VAN,REG,,,,69TVDI,DIURNO,,COMAE,PMC-EB,SPMC,EB,437,0,0,0,0,0,0,0
12/jan.,JAN.,006,2809,10,SBUA,SBUA,-0.130,-66.98,-0.130,-0.130,13:10,15:10,02:00,1,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,1925,4,4,4,0,0,0,0
12/jan.,JAN.,006,2809,11,SBUA,SWQE,-0.130,-66.98,1.085,1.085,17:00,18:00,01:00,2,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,950,0,4,4,0,3031,3031,0
12/jan.,JAN.,006,2809,12,SWQE,SBUA,1.085,-69.84,-0.130,-0.130,18:45,19:45,01:00,3,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,895,0,8,8,0,0,0,0
13/jan.,JAN.,006,2809,13,SBUA,SWSQ,-0.130,-66.98,1.700,1.700,13:15,14:20,01:05,1,1,,,,,,,BOD,ABQ,,DNL,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,1025,0,6,6,0,4328,4328,0
13/jan.,JAN.,006,2809,14,SWSQ,SBUA,1.700,-69.39,-0.130,-0.130,15:15,16:10,00:55,2,1,,,,,,,BOD,ABQ,,DNL,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,850,0,7,7,0,0,0,0
13/jan.,JAN.,006,2809,15,SBUA,SWMK,-0.130,-66.98,0.626,0.626,17:40,18:05,00:25,3,1,,,,,,,ABQ,BOD,,DNL,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,475,0,3,3,0,746,746,0
13/jan.,JAN.,006,2809,16,SWMK,SBUA,0.626,-66.12,-0.130,-0.130,18:30,18:55,00:25,4,1,,,,,,,ABQ,BOD,,DNL,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,475,0,0,0,0,0,0,0
14/jan.,JAN.,006,2809,17,SBUA,SWMK,-0.130,-66.98,0.626,0.626,15:00,15:30,00:30,1,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,520,0,1,0,0,1370,1370,0
14/jan.,JAN.,006,2809,18,SWMK,SBUA,0.626,-66.12,-0.130,-0.130,17:00,17:25,00:25,2,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,400,0,3,4,0,0,0,0
14/jan.,JAN.,006,2809,19,SBUA,SWSQ,-0.130,-66.98,1.700,1.700,18:10,19:05,00:55,3,1,,,,,,,ABQ,BOD,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,875,0,0,0,0,1254,1254,0
14/jan.,JAN.,006,2809,20,SWSQ,SBUA,1.700,-69.39,-0.130,-0.130,19:40,20:30,00:50,4,1,,,,,,,BOD,ABQ,,LMA,,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,815,0,0,0,0,0,0,0
15/jan.,JAN.,006,2809,21,SBUA,SBMN,-0.130,-66.98,-3.130,-3.130,13:10,15:25,02:15,1,1,,,,,,,BOD,ABQ,,DNL,LMA,,MOA,VAN,REG,,,,69TV300,DIURNO,,COMAE,PMC-EB,SPMC,EB,1812,0,3,3,0,625,625,0
16/jan.,JAN.,013,2802,1,SBMN,SBBE,-3.130,-59.98,-1.400,-1.400,10:50,14:25,03:35,1,1,03:25,,SBBE,1,,,BEZ,CAV,,RUD,,,BOR,BLE,MAR,,,,69TVDI,DIURNO,210120,COMAE,PEO,SPMAS,EVAM,2800,0,0,0,0,0,0,0
16/jan.,JAN.,013,2802,2,SBBE,SBTS,-1.400,-48.45,2.220,2.220,15:15,17:30,02:15,1,1,02:05,,SBTS,1,,,BEZ,CAV,,RUD,,,BOR,BLE,MAR,,,,69TVDI,DIURNO,,COMAE,PEO,SPMAS,EVAM,1600,0,0,0,0,0,0,0
16/jan.,JAN.,013,2802,3,SBTS,SBBE,2.220,-55.93,-1.400,-1.400,17:50,20:15,02:25,1,1,02:15,,SBBE,1,,,CAV,BEZ,,RUD,,,BOR,BLE,MAR,,,,69TVDI,DIURNO,,COMAE,PEO,SPMAS,EVAM,2300,0,3,3,0,0,0,0
17/jan.,JAN.,013,2802,4,SBBE,SBMN,-1.400,-48.45,-3.130,-3.130,03:25,06:40,03:15,1,1,03:15,,SBMN,1,,,ABQ,CAI,,RDZ,,,ADO,MTO,,,,,69TVNO,NOTURNO,,COMAE,PEO,SPMAS,EVAM,2690,0,1,1,0,2914,2914,0
17/jan.,JAN.,014,2809,1,SBMN,SBMY,-3.130,-59.98,-5.820,-5.820,12:20,13:15,00:55,1,1,00:45,,,,,,JAI,BRA,,REI,,,VAN,MAI,,,,,41TVDI,DIURNO,210133,COMAE,PEO,SPMAS,EVAM,750,0,0,0,0,0,0,0
17/jan.,JAN.,014,2809,2,SBMY,SBMN,-5.820,-61.29,-3.130,-3.130,13:35,14:30,00:55,1,1,00:45,,,,,,BRA,JAI,,REI,,,VAN,MAI,,,,,41TVDI,DIURNO,,COMAE,PEO,SPMAS,EVAM,700,0,1,1,0,0,0,0
18/jan.,JAN.,015,2802,1,SBMN,SBGR,-3.130,-59.98,-23.440,-23.440,14:40,21:25,06:45,1,1,06:30,,SBGR,1,,,PBO,FVA,,ROB,,,MOA,RBS,,,,,69TV300,DIURNO,210142,COMAE,PEO,SPMAS,EVAM,5220,0,2,2,0,0,0,0
19/jan.,JAN.,015,2802,2,SBGR,SBBR,-23.440,-46.47,-15.870,-15.870,12:30,14:50,02:20,1,1,02:05,,SBBR,1,,,FVA,PBO,,ROB,,,MOA,RBS,,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,EVAM,1880,6,0,0,0,0,0,0
19/jan.,JAN.,015,2802,3,SBBR,SBMN,-15.870,-47.92,-3.130,-3.130,16:15,21:15,05:00,2,1,04:50,,SBMN,1,,,PBO,FVA,,ROB,,,MOA,RBS,,,,,69TV300,DIURNO,,COMAE,PEO,SPMAS,EVAM,3820,0,0,0,0,1230,1230,0
20/jan.,JAN.,016,2809,1,SBMN,SBTF,-3.130,-59.98,-3.380,-3.380,02:15,03:40,01:25,1,1,01:25,,SBTF,1,,,ABQ,CAI,,RDZ,,,VAN,MTO,MAR,,,,69TVNO,NOTURNO,210199,COMAE,PAOE,SPAOE,COVID-19,1300,0,0,0,0,6000,0,0
20/jan.,JAN.,016,2809,2,SBTF,SBTT,-3.380,-64.73,-4.250,-4.250,04:20,06:00,01:40,2,1,01:40,,SBTT,1,,,ABQ,CAI,,RDZ,,,VAN,MTO,MAR,,,,69TVNO,NOTURNO,,COMAE,PAOE,SPAOE,COVID-19,1400,0,0,0,0,0,6000,0
20/jan.,JAN.,016,2809,3,SBTT,SBMN,-4.250,-69.93,-3.130,-3.130,07:10,10:00,02:50,3,1,02:50,,SBMN,1,,,CAI,ABQ,,RDZ,,,VAN,MTO,MAR,,,,69TVNO,NOTURNO,,COMAE,PAOE,SPAOE,COVID-19,2400,0,0,0,0,0,0,0
